Type,Security,Price,Time,DayMovingAverage
Buy,CCL,14.92,46:03.5,14.92068355
Sell,CCL,14.9338,49:07.9,14.92068355
Sell,XOM,43.4615,55:16.6,43.46008515
Buy,XOM,43.39,56:18.0,43.46008515
Buy,CCL,14.9053,58:20.4,14.92068355
Sell,CCL,14.96,00:23.0,14.92068355
Sell,MCD,197.98,00:23.3,197.9081852
Sell,MMM,159.3,00:23.5,159.2252387
Buy,MCD,197.76,01:24.8,197.9081852
Buy,NKE,99.05,02:26.1,99.09491039
Buy,CVX,90.66,04:28.6,90.66741045
Sell,TLSA,9.43,05:29.9,9.415821805
Buy,CCL,14.91,07:33.0,14.92068355
Buy,TLSA,9.395,07:33.3,9.415821805
Buy,MRO,5.77,11:40.0,5.771865563
Sell,CVX,90.8,13:42.7,90.66741045
Sell,MRO,5.785,13:43.1,5.771865563
Buy,NVDA,410.67,13:43.4,410.8401909
Sell,XOM,43.5,14:45.0,43.46008515
Buy,TRV,118.64,14:45.3,119.2126967
Buy,PG,126.23,18:09.8,126.4876925
Buy,IDXG,6.11,19:11.3,6.249330726
Sell,CCL,14.93,19:11.5,14.92068355
Buy,CCL,14.9083,22:15.1,14.92068355
Sell,CCL,14.94,24:17.7,14.92068355
Buy,MRO,5.77,27:22.1,5.771865563
Buy,DOW,42.63,29:24.6,42.63968029
Buy,XOM,43.45,29:24.8,43.46008515
Buy,CCL,14.9201,29:25.0,14.92068355
Sell,DOW,42.697,30:26.4,42.63968029
Sell,XOM,43.49,30:26.6,43.46008515
Sell,CCL,14.9334,30:26.8,14.92068355
Sell,NVDA,411.21,32:29.5,410.8401909
Buy,CCL,14.91,33:31.1,14.92068355
Buy,NVDA,410.5,33:31.3,410.8401909
Sell,NVDA,411,34:32.6,410.8401909
Sell,MRO,5.775,35:33.9,5.771865563
Buy,NVDA,410.79,35:34.1,410.8401909
Sell,IDXG,6.3,37:36.7,6.249330726
Buy,MRO,5.77,37:36.9,5.771865563
Buy,DOW,42.63,41:41.9,42.63968029
Buy,IDXG,6.22,42:43.2,6.249330726
Sell,DOW,42.65,42:43.4,42.63968029
Sell,MRO,5.7799,43:44.8,5.771865563
Buy,MRO,5.77,44:46.2,5.771865563
Buy,DOW,42.62,46:48.5,42.63968029
Sell,DOW,42.67,51:54.7,42.63968029
Buy,CLSK,5.14,51:54.8,5.146571128
Buy,TXN,130.08,51:55.0,130.1393205
Sell,CLSK,5.16,53:57.7,5.146571128
Buy,AXP,96.516,53:57.9,96.5909656
Buy,CLSK,5.14,54:59.4,5.146571128
Buy,DOW,42.6267,56:00.7,42.63968029
Sell,CLSK,5.18,02:07.8,5.146571128
Buy,NI,24.655,03:09.1,24.66777538
Sell,TXN,130.15,03:09.3,130.1393205
Sell,NI,24.675,04:10.6,24.66777538
Sell,MRO,5.775,04:10.8,5.771865563
Buy,TXN,130.01,04:11.0,130.1393205
Buy,NI,24.66,05:12.4,24.66777538
Buy,MRO,5.77,05:12.7,5.771865563
Sell,IDXG,6.28,07:15.5,6.249330726
Buy,IDXG,6.18,09:17.9,6.249330726
Buy,SCPL,15.07,15:25.2,15.11362285
Buy,WBA,40.45,15:25.4,40.46664524
Buy,HD,264.69,15:25.7,264.8081462
Sell,WBA,40.4713,16:26.9,40.46664524
Buy,CVX,90.61,16:27.1,90.66741045
Buy,WBA,40.45,17:28.4,40.46664524
Sell,WBA,40.47,18:29.6,40.46664524
Sell,CVX,90.71,20:32.1,90.66741045
Sell,HD,264.815,20:32.3,264.8081462
Sell,SCPL,15.15,21:33.5,15.11362285
Buy,HD,264.595,21:33.7,264.8081462
Buy,CLSK,5.11,23:36.7,5.146571128
Sell,HD,264.84,25:40.0,264.8081462
Buy,SCPL,15.1,28:43.6,15.11362285
Sell,SCPL,15.15,29:44.8,15.11362285
Sell,CLSK,5.1485,29:45.0,5.146571128
Buy,WBA,40.46,30:46.2,40.46664524
Buy,HD,264.6971,30:46.5,264.8081462
Buy,CLSK,5.14,30:46.7,5.146571128
Sell,IDXG,6.3,31:48.0,6.249330726
Sell,CLSK,5.1547,32:49.7,5.146571128
Buy,XOM,43.46,33:51.0,43.46008515
Sell,WBA,40.475,34:52.2,40.46664524
Buy,WBA,40.45,35:53.6,40.46664524
Buy,CVX,90.55,35:53.8,90.66741045
Buy,LB,19.4496,35:54.0,19.4500782
Sell,WBA,40.49,36:55.6,40.46664524
Buy,IDXG,6.22,37:56.9,6.249330726
Buy,CLSK,5.105,42:01.4,5.146571128
Sell,HD,264.855,43:02.8,264.8081462
Buy,JPM,98.58,44:04.4,98.59617398
Buy,PHM,42.155,45:05.6,42.15841264
Sell,CVX,90.69,46:06.9,90.66741045
Sell,PHM,42.2,46:07.2,42.15841264
Sell,JPM,98.6,46:07.5,98.59617398
Sell,CLSK,5.19,47:08.8,5.146571128
Buy,JPM,98.55,47:09.0,98.59617398
Buy,CVX,90.65,48:10.3,90.66741045
Sell,TXN,130.21,48:10.5,130.1393205
Sell,CVX,90.69,49:11.9,90.66741045
Buy,CVX,90.582,51:14.4,90.66741045
Buy,TXN,130.11,51:14.6,130.1393205
Sell,CVX,90.73,54:18.0,90.66741045
Sell,XOM,43.4999,54:18.3,43.46008515
Sell,TXN,130.15,54:18.6,130.1393205
Buy,XOM,43.46,55:19.8,43.46008515
Buy,CLSK,5.13,55:20.0,5.146571128
Buy,RCL,50.35,55:20.2,50.39690646
Buy,TXN,130.095,55:20.4,130.1393205
Buy,CVX,90.62,56:21.8,90.66741045
Sell,TXN,130.18,56:22.1,130.1393205
Sell,CLSK,5.15,58:24.9,5.146571128
Sell,CVX,90.679,59:26.1,90.66741045
Sell,RCL,50.4,59:26.3,50.39690646
Buy,CVX,90.7,00:27.6,90.66741045
Buy,HD,264.8,00:27.8,264.8081462
Sell,HD,264.87,01:29.0,264.8081462
Sell,XOM,43.466,01:29.2,43.46008515
Buy,XOM,43.435,03:31.8,43.46008515
Buy,RCL,50.37,04:33.0,50.39690646
Sell,RCL,50.42,07:36.4,50.39690646
Sell,LB,19.455,08:37.7,19.4500782
Sell,XOM,43.48,09:39.1,43.46008515
Sell,JPM,98.64,09:39.2,98.59617398
Sell,CVX,90.67,10:40.9,90.66741045
Buy,AAPL,371.45,10:41.1,378.2899932
Buy,CVX,90.61,11:42.4,90.66741045
Sell,MCD,197.93,11:42.6,197.9081852
Buy,LB,19.4022,11:42.8,19.4500782
Buy,WBA,40.4503,12:44.0,40.46664524
Buy,XOM,43.46,14:46.5,43.46008515
Sell,WBA,40.48,15:47.8,40.46664524
Buy,JPM,98.58,17:50.2,98.59617398
Sell,JPM,98.6301,18:51.5,98.59617398
Sell,CVX,90.69,22:56.5,90.66741045
Sell,XOM,43.51,22:56.8,43.46008515
Sell,TLSA,9.46,23:58.7,9.415821805
Buy,TLSA,9.3801,31:06.9,9.415821805
Buy,JPM,98.58,31:07.1,98.59617398
Sell,JPM,98.605,32:08.3,98.59617398
Buy,EW,78.26,32:08.5,78.40350683
Buy,CVX,90.61,33:09.8,90.66741045
Buy,XOM,43.45,34:11.1,43.46008515
Sell,TLSA,9.4699,34:11.3,9.415821805
Sell,XOM,43.48,35:13.1,43.46008515
Sell,CVX,90.67,39:17.5,90.66741045
Sell,EW,78.5,39:17.8,78.40350683
Buy,CVX,90.68,40:19.0,90.66741045
Sell,CVX,90.756,41:20.4,90.66741045
Buy,TLSA,9.4,43:23.0,9.415821805
Buy,JPM,98.59,43:23.2,98.59617398
Sell,JPM,98.615,45:26.2,98.59617398
Buy,EW,78.38,46:27.7,78.40350683
Sell,EW,78.48,47:28.9,78.40350683
Buy,TXN,130.09,48:30.2,130.1393205
Buy,CVX,90.63,49:31.5,90.66741045
Buy,JPM,98.54,50:32.9,98.59617398
Sell,TLSA,9.44,51:34.1,9.415821805
Sell,JPM,98.6,51:34.3,98.59617398
Buy,JPM,98.59,52:35.6,98.59617398
Sell,JPM,98.615,53:36.9,98.59617398
Buy,EW,78.385,53:37.1,78.40350683
Buy,JPM,98.59,54:38.4,98.59617398
Buy,BBY,97.16,54:38.6,97.16384771
Sell,BBY,97.18,56:40.9,97.16384771
Sell,IDXG,6.25,58:43.3,6.249330726
Sell,EW,78.44,58:43.5,78.40350683
Buy,IDXG,6.22,59:44.8,6.249330726
Buy,EW,78.35,01:47.1,78.40350683
Sell,EW,78.456,03:49.4,78.40350683
Sell,JPM,98.6415,04:50.6,98.59617398
Buy,EW,78.4,04:50.8,78.40350683
Buy,JPM,98.59,05:52.3,98.59617398
Sell,JPM,98.6374,06:53.6,98.59617398
Buy,JPM,98.57,07:54.9,98.59617398
Sell,EW,78.45,08:56.2,78.40350683
Sell,KO,48.32,13:01.2,48.31520813
Buy,SCPL,15.08,14:02.5,15.11362285
Buy,KO,48.29,14:02.7,48.31520813
Buy,WBA,40.435,15:04.1,40.46664524
Sell,SCPL,15.13,16:05.5,15.11362285
Buy,XOM,43.45,16:05.8,43.46008515
Buy,SCPL,15.08,17:07.1,15.11362285
Sell,SCPL,15.17,18:08.5,15.11362285
Buy,BBY,97.1,18:08.7,97.16384771
Buy,EW,78.345,19:10.0,78.40350683
Sell,EW,78.405,20:11.4,78.40350683
Buy,SCPL,15.08,21:12.6,15.11362285
Sell,WBA,40.475,29:21.9,40.46664524
Buy,WBA,40.4485,30:23.2,40.46664524
Buy,HD,264.69,31:24.5,264.8081462
Buy,EW,78.32,31:24.7,78.40350683
Sell,WBA,40.47,36:31.1,40.46664524
Sell,HD,264.9,36:31.3,264.8081462
Sell,BBY,97.19,38:34.5,97.16384771
Sell,KO,48.3399,39:35.8,48.31520813
Sell,IDXG,6.2999,40:37.2,6.249330726
Sell,SCPL,15.1527,40:37.5,15.11362285
Buy,CLSK,5.1,41:38.7,5.146571128
Buy,BBY,97.12,41:38.9,97.16384771
Sell,CLSK,5.15,42:40.2,5.146571128
Buy,SCPL,15.11,43:41.4,15.11362285
Buy,CLSK,5.07,43:41.7,5.146571128
Sell,SCPL,15.12,44:42.9,15.11362285
Buy,TLSA,9.38,44:43.1,9.415821805
Buy,SCPL,14.91,45:44.5,15.11362285
Sell,TLSA,9.417,45:44.7,9.415821805
Buy,TLSA,9.385,46:46.1,9.415821805
Buy,IDXG,6.24,47:47.6,6.249330726
